* ENCODING=ISO-8859-1
NAME          ModelSparse1  Iterations 287  Rows 300  Cols 3000
 XU x2        c2      
 XU x3        c3      
 XU x4        c6      
 XU x5        c8      
 XU x6        c9      
 XU x7        c12     
 XU x8        c13     
 XU x9        c14     
 XU x10       c15     
 XU x11       c17     
 XU x12       c24     
 XU x13       c25     
 XU x14       c26     
 XU x15       c28     
 XU x16       c29     
 XU x17       c31     
 XU x18       c36     
 XU x19       c38     
 XU x20       c39     
 XU x24       c42     
 XU x25       c44     
 XU x26       c45     
 XU x30       c46     
 XU x31       c47     
 XU x33       c48     
 XU x34       c51     
 XU x35       c53     
 XU x36       c56     
 XU x39       c57     
 XU x40       c60     
 XU x43       c63     
 XU x44       c64     
 XU x45       c65     
 XU x46       c66     
 XU x47       c68     
 XU x48       c70     
 XU x49       c71     
 XU x54       c78     
 XU x56       c79     
 XU x59       c85     
 XU x61       c86     
 XU x62       c91     
 XU x63       c93     
 XU x64       c98     
 XU x65       c99     
 XU x66       c100    
 XU x68       c102    
 XU x70       c103    
 XU x71       c104    
 XU x72       c106    
 XU x77       c107    
 XU x79       c108    
 XU x80       c114    
 XU x81       c116    
 XU x82       c118    
 XU x83       c120    
 XU x84       c121    
 XU x85       c123    
 XU x87       c129    
 XU x89       c132    
 XU x92       c135    
 XU x93       c142    
 XU x94       c145    
 XU x98       c146    
 XU x102      c148    
 XU x103      c150    
 XU x105      c154    
 XU x106      c157    
 XU x107      c158    
 XU x108      c159    
 XU x110      c160    
 XU x111      c163    
 XU x113      c167    
 XU x114      c172    
 XU x116      c175    
 XU x117      c177    
 XU x121      c179    
 XU x122      c180    
 XU x123      c181    
 XU x126      c182    
 XU x127      c184    
 XU x134      c185    
 XU x135      c187    
 XU x140      c190    
 XU x141      c193    
 XU x142      c195    
 XU x146      c196    
 XU x148      c197    
 XU x150      c201    
 XU x156      c202    
 XU x158      c203    
 XU x159      c212    
 XU x163      c213    
 XU x167      c219    
 XU x180      c220    
 XU x187      c222    
 XU x190      c226    
 XU x192      c227    
 XU x193      c231    
 XU x195      c233    
 XU x200      c234    
 XU x204      c245    
 XU x206      c246    
 XU x210      c251    
 XU x227      c253    
 XU x232      c256    
 XU x237      c258    
 XU x240      c265    
 XU x244      c266    
 XU x253      c267    
 XU x258      c269    
 XU x297      c270    
 XU x320      c271    
 XU x324      c275    
 XU x326      c280    
 XU x342      c283    
 XU x363      c292    
 XU x384      c293    
 XU x394      c296    
 XU x407      c297    
 XU x444      c298    
 XU x486      c300    
 UL x1
 UL x32
 UL x37
ENDATA
